iter	Passed	Remaining
0	153	153052
1	154	76927
2	154	51496
3	155	38772
4	156	31153
5	157	26093
6	158	22444
7	158	19707
8	159	17591
9	160	15884
10	161	14491
11	161	13334
12	162	12346
13	163	11506
14	164	10772
15	164	10133
16	165	9575
17	166	9074
18	167	8628
19	167	8221
20	168	7851
21	169	7518
22	169	7213
23	170	6936
24	171	6680
25	172	6453
26	173	6238
27	173	6033
28	174	5845
29	175	5668
30	176	5501
31	176	5347
32	177	5203
33	178	5067
34	179	4937
35	179	4814
36	180	4698
37	181	4587
38	181	4483
39	182	4388
40	183	4298
41	184	4209
42	185	4121
43	186	4045
44	186	3966
45	187	3892
46	195	3959
47	196	3893
48	197	3825
49	197	3758
50	198	3693
51	199	3632
52	199	3572
53	200	3514
54	201	3459
55	202	3408
56	202	3358
57	203	3308
58	204	3261
59	205	3214
60	205	3168
61	206	3124
62	207	3081
63	207	3040
64	208	3000
65	209	2963
66	210	2926
67	210	2891
68	211	2855
69	212	2820
70	213	2787
71	213	2754
72	214	2722
73	215	2692
74	216	2665
75	216	2637
76	217	2608
77	218	2579
78	218	2551
79	219	2524
80	220	2499
81	221	2474
82	221	2447
83	222	2423
84	222	2400
85	223	2376
86	224	2353
87	224	2331
88	225	2310
89	226	2288
90	227	2268
91	227	2248
92	228	2229
93	233	2253
94	236	2256
95	237	2239
96	238	2220
97	239	2201
98	239	2182
99	240	2164
100	241	2147
101	242	2131
102	242	2114
103	243	2098
104	244	2082
105	244	2066
106	245	2050
107	246	2036
108	247	2022
109	248	2009
110	249	1994
111	249	1979
112	250	1965
113	251	1951
114	251	1937
115	252	1923
116	252	1909
117	253	1896
118	254	1883
119	255	1870
120	255	1858
121	256	1845
122	257	1833
123	257	1821
124	258	1809
125	259	1799
126	260	1789
127	260	1777
128	261	1766
129	262	1755
130	263	1744
131	263	1734
132	264	1724
133	265	1714
134	266	1705
135	266	1694
136	267	1684
137	268	1674
138	268	1664
139	269	1655
140	270	1645
141	270	1634
142	271	1625
143	271	1616
144	272	1607
145	273	1599
146	274	1590
147	274	1581
148	275	1573
149	276	1566
150	277	1558
151	277	1550
152	278	1543
153	279	1535
154	280	1527
155	280	1519
156	281	1512
157	282	1504
158	282	1496
159	283	1488
160	284	1480
161	284	1472
162	285	1465
163	286	1458
164	286	1452
165	287	1445
166	288	1438
167	289	1431
168	289	1425
169	290	1418
170	291	1411
171	291	1404
172	292	1398
173	293	1391
174	293	1384
175	294	1377
176	294	1370
177	295	1364
178	296	1358
179	296	1351
180	297	1345
181	298	1339
182	298	1333
183	299	1326
184	299	1320
185	300	1314
186	300	1308
187	301	1302
188	302	1297
189	302	1291
190	303	1285
191	304	1279
192	304	1274
193	305	1268
194	306	1263
195	306	1258
196	307	1252
197	308	1247
198	308	1242
199	309	1237
200	310	1232
201	310	1227
202	311	1222
203	312	1218
204	312	1213
205	313	1208
206	314	1204
207	315	1199
208	315	1194
209	316	1189
210	317	1185
211	317	1181
212	318	1176
213	319	1172
214	319	1167
215	320	1163
216	321	1158
217	321	1154
218	322	1149
219	322	1145
220	323	1140
221	324	1137
222	325	1133
223	325	1129
224	326	1124
225	327	1120
226	327	1115
227	328	1111
228	328	1107
229	329	1103
230	330	1099
231	330	1095
232	331	1090
233	332	1086
234	332	1082
235	333	1078
236	333	1074
237	334	1071
238	335	1067
239	335	1063
240	336	1059
241	337	1056
242	337	1052
243	338	1048
244	339	1045
245	339	1041
246	340	1037
247	341	1034
248	341	1030
249	342	1027
250	343	1023
251	343	1020
252	344	1016
253	344	1012
254	345	1009
255	346	1006
256	346	1002
257	347	1000
258	348	996
259	349	993
260	349	989
261	350	986
262	350	983
263	351	980
264	352	976
265	352	973
266	353	970
267	354	967
268	354	963
269	355	960
270	355	957
271	356	954
272	357	950
273	357	947
274	358	944
275	358	941
276	359	938
277	360	935
278	360	932
279	361	929
280	361	926
281	362	923
282	363	919
283	363	916
284	364	914
285	364	911
286	365	908
287	366	905
288	366	902
289	367	899
290	367	896
291	368	893
292	369	890
293	369	888
294	370	885
295	371	882
296	371	879
297	372	876
298	372	874
299	373	871
300	374	868
301	374	865
302	375	863
303	376	860
304	376	858
305	377	855
306	377	852
307	378	850
308	379	848
309	379	845
310	380	843
311	381	840
312	381	838
313	382	835
314	383	832
315	383	830
316	384	827
317	384	825
318	385	823
319	386	820
320	386	818
321	387	815
322	387	813
323	388	810
324	389	808
325	389	805
326	390	803
327	391	801
328	391	798
329	392	796
330	392	794
331	393	791
332	394	789
333	394	787
334	395	785
335	396	782
336	396	780
337	397	778
338	397	775
339	398	773
340	399	771
341	399	769
342	400	766
343	400	764
344	401	762
345	402	760
346	402	758
347	403	755
348	404	753
349	404	751
350	405	749
351	405	747
352	406	744
353	406	742
354	407	740
355	408	738
356	408	736
357	409	734
358	410	732
359	410	730
360	411	727
361	411	725
362	412	723
363	413	721
364	413	719
365	414	717
366	414	715
367	415	713
368	416	711
369	416	709
370	417	707
371	417	705
372	418	703
373	419	701
374	419	699
375	420	697
376	420	695
377	421	693
378	422	691
379	422	689
380	423	687
381	423	685
382	424	683
383	425	681
384	425	680
385	426	678
386	426	676
387	427	674
388	428	672
389	428	670
390	429	668
391	429	666
392	430	664
393	430	662
394	431	661
395	432	659
396	432	657
397	433	655
398	433	653
399	434	651
400	435	649
401	435	648
402	436	646
403	436	644
404	437	642
405	438	640
406	438	639
407	439	637
408	440	635
409	440	634
410	441	632
411	441	630
412	442	629
413	443	627
414	443	625
415	444	623
416	445	622
417	445	620
418	446	618
419	446	617
420	447	615
421	448	613
422	448	612
423	449	610
424	449	608
425	450	606
426	451	605
427	451	603
428	452	602
429	452	600
430	453	598
431	454	597
432	454	595
433	455	593
434	456	592
435	456	590
436	457	589
437	457	587
438	458	586
439	459	584
440	459	582
441	460	581
